	X:TIME(s)	Y:Acc1_Relative-RevJoint1(rad/s^2)	Y:Acc1_Relative-RevJoint2(rad/s^2)	Y:Acc1_Relative-RevJoint3(rad/s^2)	Y:Acc1_Relative-RevJoint4(rad/s^2)	Y:Acc1_Relative-RevJoint5(rad/s^2)	Y:Driving_Torque-RevJoint6(N*m)
  1.7740000e-001 -5.3238252e+000  1.0343747e+002 -1.5193523e+002 -2.1510974e+002  3.0419924e+002  1.1615628e-002
  1.7900000e-001 -2.7738399e+000  9.1134078e+001 -1.2519550e+002 -2.4513051e+002  3.1755366e+002  1.1741717e-002
  1.8060000e-001 -6.6672869e-004  7.7831592e+001 -9.7372029e+001 -2.7465573e+002  3.2983324e+002  1.1831512e-002
  1.8230000e-001  3.1456892e+000  6.2781578e+001 -6.6827902e+001 -3.0532492e+002  3.4159711e+002  1.1886443e-002
  1.8390000e-001  6.2511535e+000  4.7934198e+001 -3.7360272e+001 -3.3339491e+002  3.5137656e+002  1.1899512e-002
  1.8550000e-001  9.4532869e+000  3.2606039e+001 -7.3984915e+000 -3.6057789e+002  3.5983529e+002  1.1874630e-002
  1.8710000e-001  1.2710502e+001  1.6977284e+001  2.2854121e+001 -3.8677581e+002  3.6692169e+002  1.1811239e-002
  1.8870000e-001  1.5983054e+001  1.2265886e+000  5.3194401e+001 -4.1190645e+002  3.7259789e+002  1.1708590e-002
  1.9030000e-001  1.9234066e+001 -1.4472784e+001  8.3422476e+001 -4.3590330e+002  3.7683875e+002  1.1565620e-002
  1.9190000e-001  2.2430354e+001 -2.9956304e+001  1.1334440e+002 -4.5871471e+002  3.7963014e+002  1.1380832e-002
  1.9350000e-001  2.5542985e+001 -4.5070735e+001  1.4277403e+002 -4.8030208e+002  3.8096666e+002  1.1152170e-002
  1.9520000e-001  2.8731220e+001 -6.0568609e+001  1.7330506e+002 -5.0186605e+002  3.8079317e+002  1.0858070e-002
  1.9680000e-001  3.1598954e+001 -7.4493207e+001  2.0116717e+002 -5.2084689e+002  3.7913315e+002  1.0529375e-002
  1.9840000e-001  3.4321344e+001 -8.7659520e+001  2.2801557e+002 -5.3853218e+002  3.7602305e+002  1.0145764e-002
  2.0000000e-001  3.6885267e+001 -9.9963292e+001  2.5368814e+002 -5.5489643e+002  3.7145804e+002  9.7016902e-003
  2.0160000e-001  3.9279209e+001 -1.1130643e+002  2.7801849e+002 -5.6990138e+002  3.6542241e+002  9.1904724e-003
  2.0320000e-001  4.1491601e+001 -1.2159198e+002  3.0082832e+002 -5.8348687e+002  3.5788437e+002  8.6042010e-003
  2.0480000e-001  4.3508806e+001 -1.3071784e+002  3.2191776e+002 -5.9556020e+002  3.4879037e+002  7.9336520e-003
  2.0650000e-001  4.5417894e+001 -1.3901480e+002  3.4217902e+002 -6.0657620e+002  3.3733149e+002  7.1169615e-003
  2.0810000e-001  4.6967471e+001 -1.4536312e+002  3.5893283e+002 -6.1502918e+002  3.2473281e+002  6.2375025e-003
  2.0970000e-001  4.8240825e+001 -1.5012454e+002  3.7309102e+002 -6.2134305e+002  3.1021336e+002  5.2368186e-003
  2.1130000e-001  4.9188742e+001 -1.5309208e+002  3.8423288e+002 -6.2514631e+002  2.9356665e+002  4.1001201e-003
  2.1290000e-001  4.9745725e+001 -1.5401136e+002  3.9184680e+002 -6.2595597e+002  2.7453422e+002  2.8116295e-003
  2.1450000e-001  4.9827489e+001 -1.5257519e+002  3.9531959e+002 -6.2316188e+002  2.5280405e+002  1.3551207e-003
  2.1610000e-001  4.9329538e+001 -1.4842301e+002  3.9393299e+002 -6.1601687e+002  2.2801436e+002 -2.8517097e-004
  2.1770000e-001  4.8127774e+001 -1.4114841e+002  3.8687308e+002 -6.0363848e+002  1.9976614e+002 -2.1231376e-003
  2.1940000e-001  4.5923136e+001 -1.2951420e+002  3.7217091e+002 -5.8363604e+002  1.6550353e+002 -4.3036303e-003
  2.2100000e-001  4.2820233e+001 -1.1444600e+002  3.5062261e+002 -5.5724578e+002  1.2885878e+002 -6.5733519e-003
  2.2260000e-001  3.8578722e+001 -9.5025743e+001  3.2078391e+002 -5.2246659e+002  8.7660680e+001 -9.0466430e-003
  2.2420000e-001  3.3089591e+001 -7.1050115e+001  2.8208322e+002 -4.7843157e+002  4.1803702e+001 -1.1702378e-002
  2.2580000e-001  2.6300062e+001 -4.2551089e+001  2.3433077e+002 -4.2460882e+002 -8.5527574e+000 -1.4502526e-002
  2.2740000e-001  1.8241418e+001 -9.8811443e+000  1.7787944e+002 -3.6098637e+002 -6.2903895e+001 -1.7390514e-002
  2.2900000e-001  9.0515692e+000  2.6229049e+001  1.1374711e+002 -2.8823098e+002 -1.2035293e+002 -2.0292227e-002
  2.3060000e-001 -1.0157559e+000  6.4667168e+001  4.3652483e+001 -2.0776819e+002 -1.7962516e+002 -2.3120529e-002
  2.3230000e-001 -1.2271181e+001  1.0646152e+002 -3.4740727e+001 -1.1623377e+002 -2.4285073e+002 -2.5942200e-002
  2.3390000e-001 -2.2935815e+001  1.4501456e+002 -1.0933607e+002 -2.7210043e+001 -3.0082024e+002 -2.8334485e-002
  2.3550000e-001 -3.3207076e+001  1.8120344e+002 -1.8186327e+002  6.1659097e+001 -3.5567712e+002 -3.0400244e-002
  2.3710000e-001 -4.2666141e+001  2.1367107e+002 -2.4979493e+002  1.4764508e+002 -4.0612791e+002 -3.2094587e-002
  2.3870000e-001 -5.0972878e+001  2.4141143e+002 -3.1113885e+002  2.2848005e+002 -4.5131085e+002 -3.3400577e-002
  2.4030000e-001 -5.7890955e+001  2.6382912e+002 -3.6457932e+002  3.0255004e+002 -4.9084867e+002 -3.4327924e-002
  2.4190000e-001 -6.3291137e+001  2.8072030e+002 -4.0948360e+002  3.6895040e+002 -5.2481731e+002 -3.4907909e-002
  2.4350000e-001 -6.7136740e+001  2.9219523e+002 -4.4580082e+002  4.2742148e+002 -5.5365446e+002 -3.5186362e-002
  2.4520000e-001 -6.9554819e+001  2.9881129e+002 -4.7539725e+002  4.8113910e+002 -5.7943526e+002 -3.5211368e-002
  2.4680000e-001 -7.0336566e+001  3.0023391e+002 -4.9544276e+002  5.2440132e+002 -5.9997734e+002 -3.5037300e-002
  2.4840000e-001 -6.9758253e+001  2.9743816e+002 -5.0863517e+002  5.6136357e+002 -6.1776119e+002 -3.4723903e-002
  2.5000000e-001 -6.7902901e+001  2.9079981e+002 -5.1564469e+002  5.9282215e+002 -6.3357468e+002 -3.4316474e-002
  2.5160000e-001 -6.4837700e+001  2.8060108e+002 -5.1702661e+002  6.1951453e+002 -6.4811567e+002 -3.3853192e-002
  2.5320000e-001 -6.0608294e+001  2.6701367e+002 -5.1317634e+002  6.4205766e+002 -6.6196766e+002 -3.3364734e-002
  2.5480000e-001 -5.5238079e+001  2.5009841e+002 -5.0431139e+002  6.6091244e+002 -6.7558873e+002 -3.2874399e-002
  2.5650000e-001 -4.8287070e+001  2.2843600e+002 -4.8944220e+002  6.7722448e+002 -6.9017414e+002 -3.2369393e-002
  2.5810000e-001 -4.0564855e+001  2.0445364e+002 -4.7019346e+002  6.8919093e+002 -7.0421558e+002 -3.1918895e-002
  2.5970000e-001 -3.1688144e+001  1.7682408e+002 -4.4560279e+002  6.9781830e+002 -7.1863314e+002 -3.1495212e-002
  2.6130000e-001 -2.1657035e+001  1.4538669e+002 -4.1535309e+002  7.0290939e+002 -7.3337511e+002 -3.1094716e-002
  2.6290000e-001 -1.0495071e+001  1.1002616e+002 -3.7911368e+002  7.0415956e+002 -7.4827826e+002 -3.0707823e-002
  2.6450000e-001  1.7372678e+000  7.0722844e+001 -3.3660999e+002  7.0120068e+002 -7.6308170e+002 -3.0319461e-002
  2.6610000e-001  1.4930939e+001  2.7600872e+001 -2.8769752e+002  6.9365463e+002 -7.7744813e+002 -2.9909874e-002
  2.6770000e-001  2.8921113e+001 -1.9033903e+001 -2.3243015e+002  6.8119199e+002 -7.9099348e+002 -2.9455856e-002
  2.6940000e-001  4.4410490e+001 -7.1863017e+001 -1.6708763e+002  6.6231399e+002 -8.0404517e+002 -2.8896826e-002
  2.7100000e-001  5.9293141e+001 -1.2393272e+002 -9.9961491e+001  6.3916353e+002 -8.1468543e+002 -2.8272458e-002
  2.7260000e-001  7.4165825e+001 -1.7741135e+002 -2.8207998e+001  6.1088506e+002 -8.2342927e+002 -2.7529714e-002
  2.7420000e-001  8.8725318e+001 -2.3137285e+002  4.7198798e+001  5.7771200e+002 -8.3006977e+002 -2.6649452e-002
  2.7580000e-001  1.0269107e+002 -2.8490554e+002  1.2523851e+002  5.3996197e+002 -8.3448970e+002 -2.5616387e-002
  2.7740000e-001  1.1582791e+002 -3.3719815e+002  2.0497176e+002  4.9795088e+002 -8.3663862e+002 -2.4418216e-002
  2.7900000e-001  1.2795956e+002 -3.8760517e+002  2.8565751e+002  4.5189207e+002 -8.3648670e+002 -2.3043441e-002
  2.8060000e-001  1.3896923e+002 -4.3567642e+002  3.6683654e+002  4.0179743e+002 -8.3396062e+002 -2.1478100e-002
  2.8230000e-001  1.4935942e+002 -4.8389498e+002  4.5347373e+002  3.4384083e+002 -8.2845837e+002 -1.9583137e-002
  2.8390000e-001  1.5785540e+002 -5.2643912e+002  5.3553926e+002  2.8418969e+002 -8.2021365e+002 -1.7548375e-002
  2.8550000e-001  1.6503911e+002 -5.6611344e+002  6.1848599e+002  2.1858974e+002 -8.0831632e+002 -1.5222502e-002
  2.8710000e-001  1.7078124e+002 -6.0269635e+002  7.0275009e+002  1.4572102e+002 -7.9176450e+002 -1.2540431e-002
  2.8870000e-001  1.7483881e+002 -6.3570155e+002  7.8864756e+002  6.3991589e+001 -7.6917728e+002 -9.4161450e-003
  2.9030000e-001  1.7679693e+002 -6.6418958e+002  8.7612736e+002 -2.8345495e+001 -7.3876942e+002 -5.7413832e-003
  2.9190000e-001  1.7600373e+002 -6.8654722e+002  9.6445423e+002 -1.3300136e+002 -6.9836054e+002 -1.3862202e-003
  2.9350000e-001  1.7150135e+002 -7.0023627e+002  1.0518071e+003 -2.5135611e+002 -6.4543993e+002  3.7974806e-003
  2.9520000e-001  1.6116135e+002 -7.0108959e+002  1.1397169e+003 -3.9278022e+002 -5.7249559e+002  1.0390258e-002
  2.9680000e-001  1.4436376e+002 -6.8354907e+002  1.2119457e+003 -5.3976007e+002 -4.8540211e+002  1.7778298e-002
  2.9840000e-001  1.1856268e+002 -6.4141764e+002  1.2655333e+003 -6.9705390e+002 -3.7841470e+002  2.6439766e-002
  3.0000000e-001  8.1500847e+001 -5.6693648e+002  1.2893537e+003 -8.5843095e+002 -2.5087088e+002  3.6429256e-002
  3.0160000e-001  3.1257428e+001 -4.5243060e+002  1.2701205e+003 -1.0138617e+003 -1.0429091e+002  4.7679988e-002
  3.0320000e-001 -3.2935411e+001 -2.9255452e+002  1.1944577e+003 -1.1496049e+003  5.6730458e+001  5.9942119e-002
  3.0480000e-001 -1.0965160e+002 -8.7517504e+001  1.0527662e+003 -1.2498222e+003  2.2405725e+002  7.2734001e-002
